AMT_CREDIT,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,CREDIT_INCOME_RATIO,CREDIT_ANNUITY_RATIO,CREDIT_GOODS_RATIO,INCOME_EXT_RATIO,CAR_EMPLOYED_RATIO,EXT_SOURCE_MEAN,OBS_30_CREDIT_RATIO,REGIONS_RATING_INCOME_MUL_0,DAYS_CREDIT_MEAN_OVERALL,AMT_CREDIT_SUM_MEAN_OVERALL,CURRENT_DEBT_TO_CREDIT_RATIO_MEAN_OVERALL,DAYS_CREDIT_MEAN_CREDITACTIVE_ACTIVE,CURRENT_DEBT_TO_CREDIT_RATIO_MEAN_CREDITACTIVE_ACTIVE,CURRENT_CREDIT_DEBT_DIFF_MEAN_CREDITACTIVE_ACTIVE,HOUR_APPR_PROCESS_START_MEAN_LAST_5,DAYS_DECISION_MEAN_LAST_5,SELLERPLACE_AREA_MEAN_LAST_5,INTEREST_SHARE_MEAN_LAST_5,INTEREST_RATE_MAX_FIRST_2,DAYS_PAYMENT_DIFF_MEAN_MEAN,DAYS_PAYMENT_DIFF_MIN_MEAN,DAYS_PAYMENT_DIFF_MAX_MEAN,TARGET,SK_ID_CURR,NAME_FAMILY_STATUS,CNT_CHILDREN,NAME_EDUCATION_TYPE,NAME_INCOME_TYPE,AMT_INCOME_TOTAL,NAME_CONTRACT_TYPE,AMT_GOODS_PRICE,NAME_HOUSING_TYPE,AGE,YEARS_WORKING,GENDER
2.7267103,0.71482205,0.10518019,1.016111,0.10165554,1.9750283,1.5108044,0.16752134,0.11206273,-0.20941055,2.4220524,0.32903978,-0.9760997,-0.056079976,-0.0026365817,0.80840427,-0.7622495,0.07538538,0.053351644,-0.18896604,-0.010803135,0.18145983,-0.016790975,-0.15472005,1.1518042,0.42237404,-0.18000118,-1.1054499,-0.05467733,0.19171675,0.21398453,-0.07971614,0,281902,Married,0,Secondary / secondary special,Working,162000.0,Cash loans,1696500.0,House / apartment,45,0,Man
-0.04039354,-0.7455658,-1.1104527,0.005433099,0.22910805,-0.49209884,0.48746133,0.70944315,1.3197399,0.43523896,0.13355643,-0.4732539,-0.34523597,-0.06342224,-0.0025453358,1.3381382,-0.7622627,-0.384118,-0.5905786,-0.14104599,-0.010803135,-0.71730286,-0.016790975,-0.11728367,0.0126526905,0.82782465,-0.18958396,0.17808433,0.17321648,-0.5827973,-0.010704719,-0.7268502,0,179023,Married,2,Higher education,Commercial associate,135000.0,Cash loans,540000.0,House / apartment,30,6,Man
-1.1307508,-0.7455658,-0.29033023,-0.13687633,1.3370081,-1.3063037,0.012102936,0.31645176,-1.3856963,0.61545056,-1.3227456,-1.6852292,-0.45038024,0.0050254203,-0.0025466827,-0.55515283,-0.42097196,-0.09815118,0.77438354,-0.30009344,-0.010803135,-0.46746117,-0.016790975,-0.37760454,-0.15700836,0.9272033,-0.22872494,-3.5724113,-0.0052510756,-0.36382964,0.11100195,-0.69675094,0,451072,Married,1,Secondary / secondary special,Commercial associate,360000.0,Cash loans,135000.0,House / apartment,40,6,Man
0.671496,0.84539586,-0.8895536,-0.6859848,-0.30795243,-0.63652253,0.012102936,0.8289359,-0.8875265,-1.915978,-0.034959093,-0.47341236,-0.34522742,-0.036705177,-0.0025458448,0.014873584,-0.76224905,0.15766932,1.6112736,0.12931633,-0.010803133,0.90857553,-0.016790975,0.02220754,1.7698545,-0.81209373,0.17247005,-1.8415251,-0.060889978,0.21874191,0.054829646,0.085829794,0,309025,Married,1,Incomplete higher,Commercial associate,225000.0,Cash loans,805500.0,House / apartment,33,10,Man
-0.7219171,1.0789973,0.42232192,0.3555892,-0.38118795,1.0481994,0.012102936,0.4733553,1.1579674,-0.82745165,-0.19712813,-0.77520263,-0.13497402,-0.06677215,-0.0025477696,0.9076927,-0.762266,0.34036085,0.014184442,-0.2765323,-0.010803135,0.18145983,-0.016790975,-0.15472005,-0.011584554,0.36302292,-0.18688458,0.13602106,0.027018817,0.9715705,0.41526863,0.3416735,0,215939,Married,1,Secondary / secondary special,Commercial associate,90000.0,Cash loans,279000.0,House / apartment,48,4,Man
0.73933864,-0.14945222,-1.0873086,0.11403767,-0.4569782,-0.207889,-0.04404238,0.12441275,-1.5971808,-0.99919695,-0.33173022,1.2895077,0.2856363,0.00021569802,-0.002548396,-0.80625546,1.3641174,-0.037434015,-0.48920646,-0.2524543,-0.010803135,-0.048197437,-0.016790975,-0.13807786,0.0126526905,0.2688204,-0.19318314,0.08013292,0.10061441,-0.09856695,0.09227785,-0.1950966,0,215840,Married,1,Secondary / secondary special,Working,292500.0,Cash loans,774000.0,With parents,30,5,Man
-0.149872,-0.7658098,0.7584827,0.048968554,-1.0340627,0.07433338,0.4792792,-0.48102197,-1.5056833,-0.8867159,0.118175164,-0.27076074,-0.029774668,-0.044250913,-0.0025469675,-0.8883253,-0.7622654,-0.24138103,0.10566582,0.08592381,-0.010803135,0.74169654,-0.016790975,0.2678478,-0.44785565,0.6501165,-0.22872494,2.2708964,0.1806907,0.015441206,0.057950333,-0.0446003,0,200698,Married,1,Secondary / secondary special,Commercial associate,126000.0,Cash loans,481500.0,House / apartment,53,5,Man
-0.70567197,-0.45896855,-0.94477844,0.29613757,-0.29603037,-0.74318403,-1.5416149,0.67830324,-0.8684538,-0.08967266,0.2636316,-0.27914983,-0.9760997,-0.0631465,-0.0025475633,-0.7313838,-0.7622659,0.36070132,1.5863491,-0.30028626,-0.010803133,0.8775837,-0.016790975,-0.34346703,-0.5932791,-0.35747144,0.9697986,-0.28729597,-0.13375218,0.07432151,0.18589838,-0.27536133,0,279033,Married,0,Secondary / secondary special,Working,67500.0,Cash loans,315000.0,House / apartment,32,4,Man
1.0577005,-0.14590947,0.86618274,0.28256202,0.73806655,-0.24233869,0.012102936,0.89163846,-1.2076699,0.96861684,-0.2618958,-0.26528722,0.12791134,-0.011983481,-0.0025475207,-0.12071399,-0.7622648,0.58167535,0.28627762,-0.114919364,-0.010803135,-0.33228913,-0.016790975,-0.22117901,-0.32060984,-0.008525087,-0.22872494,1.1342463,0.1865837,-0.44702992,-0.20730782,0.20622683,0,315404,Married,0,Secondary / secondary special,Pensioner,315000.0,Cash loans,900000.0,House / apartment,54,-24,Man
-0.37026003,-1.0264512,0.4076564,-0.1158108,0.29695028,1.0786741,2.2361016,1.2590364,-0.66397125,-0.42590636,-0.40912277,-0.3212894,-0.9760997,-0.050567,-0.0025495,1.3444607,0.3049526,0.07166868,-0.22599766,-0.20115432,-0.010803135,-0.3557316,-0.016790975,0.060452886,1.2245159,-0.83711094,-0.16056566,-0.20005327,-0.06909304,0.7912569,0.39186352,-0.03456725,0,316471,Single / not married,0,Secondary / secondary special,Working,157500.0,Cash loans,450000.0,House / apartment,48,6,Man
-0.37026003,-0.45896855,0.030936277,-0.5942327,-0.98836154,-0.8783328,0.012102936,-0.8479231,-1.4663726,-0.3364053,-0.64517695,-0.65736556,-0.9760997,-0.02726784,-0.002546255,-1.2839013,0.3049526,-0.384118,0.33924958,-0.009502109,-0.010803135,1.0963144,-0.016790975,0.22886826,-0.52056736,0.57351226,0.108832225,0.24331014,-0.010968309,-0.26276767,-0.07623909,0.0015518848,0,448925,Married,0,Secondary / secondary special,State servant,202500.0,Cash loans,450000.0,House / apartment,44,9,Man
-1.264692,0.39937714,-0.77131283,-0.5506972,-0.22989133,-0.81804585,-0.7071802,0.7813614,0.5060091,-1.9268632,-0.9756529,-1.5755465,-0.9760997,-0.06759281,-0.002546285,0.42850688,-0.76226854,0.36070132,-0.45094618,-0.3488938,-0.010803135,-1.3347552,-0.016790975,-0.3346639,0.31561843,-1.3909392,-0.19903179,0.28250343,0.15548098,-0.70523775,0.0829158,-1.3890339,0,455336,Married,1,Higher education,Working,67500.0,Cash loans,90000.0,House / apartment,34,9,Man
0.8429474,-0.01121463,-0.69661045,0.9655537,-0.15012705,-1.7057875,0.012102936,-1.9939874,0.11206273,0.07844419,1.6295018,1.0888627,0.28562775,-0.061656628,-0.0025658885,-1.1079595,1.463017,-0.42472342,0.053351644,-0.18896604,-0.010803135,0.18145983,-0.016790975,-0.15472005,-1.02955,0.03348646,-0.22858995,0.24840927,0.13348733,-0.6799788,0.068204,-0.91174567,0,408164,Separated,1,Secondary / secondary special,Working,112500.0,Cash loans,810000.0,House / apartment,35,0,Man
0.52081776,-0.16152626,0.07264134,0.47215188,0.8700608,-0.8763453,0.012102936,-2.0269804,-2.5710626,0.10263366,1.2010267,1.1799521,0.60105866,0.027767235,-0.0025546052,-2.5730193,-0.76226324,0.15766932,-0.3494266,-0.2289766,-0.010803135,-0.48039424,-0.016790975,-0.16990592,0.57010967,0.55694914,-0.22818507,0.2715902,0.15872926,0.70569485,0.0061469763,2.0483015,0,341209,Married,0,Secondary / secondary special,Working,112500.0,Cash loans,675000.0,House / apartment,44,3,Man
-0.2920084,1.0789973,-1.0627898,0.6523793,-0.005926875,0.550004,0.012102936,0.66103673,-2.0046732,-0.74036956,0.5176664,-1.059003,-0.50298375,-0.041520122,-0.0025542816,-0.6858498,-0.76226395,0.34036085,0.21317007,-0.3562533,-0.010803135,1.0126762,-0.016790975,-0.34981075,1.297228,0.96274483,-0.18755943,-1.8316922,0.17863034,0.57941544,0.22802761,0.16107795,0,333882,Married,2,Secondary / secondary special,Working,90000.0,Cash loans,454500.0,House / apartment,31,2,Man
-0.482064,0.75632215,-0.26924846,0.28256202,-0.7033675,-1.7885994,-2.3736298,-1.067932,-0.81079197,-1.1939222,-0.13293941,0.7967853,-0.9760997,-0.05619241,-0.0025477852,-2.085694,0.19823045,0.15766932,1.7474002,-0.1533408,-0.010803135,1.0778385,-0.016790977,0.20723592,0.13383892,-0.6386989,-0.21792743,-0.8778965,0.095503934,-0.28622255,0.12348469,-0.4760231,0,362535,Married,1,Secondary / secondary special,Pensioner,112500.0,Cash loans,405000.0,Municipal apartment,40,-24,Man
0.9226413,-0.66263765,-1.0820383,0.67063606,1.3089062,1.7411679,-0.22075601,0.26751506,0.11206273,0.28768316,0.53292817,0.83153206,0.60105866,-0.0540521,-0.002549929,0.122927584,-0.7622582,-0.036431734,0.053351644,-0.18896604,-0.010803135,0.18145983,-0.016790975,-0.15472005,1.2245159,0.5044993,-0.22872494,-3.5724113,0.2430726,0.14904812,0.17653632,-0.06466651,0,153588,Married,0,Secondary / secondary special,Commercial associate,180000.0,Cash loans,810000.0,House / apartment,31,2,Man
0.07227134,-0.044978768,-1.3923055,0.61399317,1.3991733,1.2535725,-0.86903477,-2.4039702,-2.8025393,1.1645516,0.25843906,1.1456803,1.5473695,0.23876831,-0.0025493128,-3.2983754,0.7273699,-0.384118,0.90507776,0.08460992,-0.010803135,0.0837164,-0.016790975,-0.2734948,0.0126526905,0.2688204,-0.19318314,0.08013292,0.10061441,-0.09856695,0.09227785,-0.1950966,0,329490,Civil marriage,0,Incomplete higher,Working,135000.0,Cash loans,477000.0,House / apartment,27,2,Man
-0.873378,0.71482205,-0.3588454,-0.7084547,1.2223293,0.111433044,0.012102936,0.9830289,0.4564688,1.1572948,-1.1987242,1.6174978,-0.9760997,-0.040150903,-0.0025461828,0.8296953,-0.17529741,-0.42083928,0.4229473,1.1776525,-0.010803135,0.6928248,-0.016790975,0.047010705,0.0126526905,0.2688204,-0.19318314,0.08013292,0.10061441,-0.09856695,0.09227785,-0.1950966,0,429418,Married,1,Incomplete higher,Commercial associate,337500.0,Cash loans,247500.0,House / apartment,39,10,Man
-0.8554893,3.7335641,-0.92873776,0.36776042,0.35599285,1.7656802,0.012102936,1.1458629,0.11206273,0.573119,-0.8701367,-0.3175145,0.07533922,-0.056586944,-0.0025478161,0.7399665,-0.15822183,0.8481672,-2.0040662,-0.3102445,-0.010803135,-2.040415,-0.016790977,-0.37806123,0.0126526905,0.2688204,-0.19318314,0.08013292,0.10061441,-0.09856695,0.09227785,-0.1950966,0,168987,Civil marriage,1,Higher education,Commercial associate,157500.0,Cash loans,225000.0,House / apartment,32,4,Man
0.7632535,-0.66263765,-0.8538063,0.10561145,0.8655191,-1.0254064,-0.8362017,0.17158099,-1.6194204,0.4606379,0.40042385,0.24425071,-0.029804103,-0.027690059,-0.0025470767,-1.1309948,1.3869454,-0.036431734,-0.18569137,0.54561913,-0.010803135,0.61375594,-0.016790975,-0.35033962,0.13383892,0.65989333,-0.22175154,-1.7035282,0.018089427,-0.00024281885,0.054829646,0.5373187,0,439156,Married,2,Higher education,Working,180000.0,Cash loans,810000.0,House / apartment,33,5,Man
-0.817476,-0.19225387,-0.071264155,0.7029366,0.37330824,-0.55901074,-0.8782903,-0.26152286,0.20423096,1.00732,-0.7517822,-0.20607547,-0.9760997,-0.05907385,-0.0025521123,-0.4214203,-0.121936284,-0.23646158,-1.2726258,0.09208169,-0.010803135,-1.4974623,-0.016790977,0.59157443,0.0126526905,0.2688204,-0.19318314,0.08013292,0.10061441,-0.09856695,0.09227785,-0.1950966,0,405437,Single / not married,0,Higher education,Commercial associate,139500.0,Revolving loans,270000.0,House / apartment,43,2,Man
0.10200002,-0.044978768,-0.89138657,0.049436677,1.1300753,-0.9690944,-0.93208426,0.17890269,-0.2280305,-0.1199095,-0.2961945,-0.03259251,2.3885055,-0.04866825,-0.0025463596,-0.41823453,-0.7622545,-1.0243154,-0.5568894,-0.2342778,-0.010803135,-0.21785781,-0.016790975,-0.02326524,-0.44785565,-0.16389029,-0.2145532,2.361276,0.13646545,-0.7088872,-0.053770162,-0.38371864,0,392810,Married,2,Secondary / secondary special,State servant,202500.0,Cash loans,450000.0,House / apartment,33,5,Man
1.1905236,-1.0012186,-0.75321007,0.8255848,0.3784177,-1.0273939,-1.1155745,1.2678573,-0.104306355,-2.5303905,0.013296199,1.6093469,0.60105866,-0.041601017,-0.0025531764,0.21044485,1.7947949,-0.2755931,-0.19935195,-0.2343737,-0.010803135,-0.3358651,-0.016790977,0.025750848,0.67917746,-0.21038774,-0.22551942,-0.7285898,0.16603673,-0.13732743,0.012700411,0.070780165,0,322903,Married,2,Secondary / secondary special,State servant,270000.0,Cash loans,900000.0,House / apartment,34,1,Man
-0.14665204,0.39937714,1.4807588,0.28256202,-1.573962,-0.80678344,0.012102936,-0.59073555,0.11206273,-2.23286,0.31320313,-0.118842535,-0.9760997,-0.061656628,-0.0025475207,-0.28209007,0.5183971,0.15766932,-2.1676733,-0.3435908,-0.010803135,-3.7902608,-0.016790975,-0.15472005,-0.83565193,-0.6542268,-0.21275362,-0.94135576,0.041507673,0.17435913,0.0641917,0.47712016,0,382948,Widow,0,Secondary / secondary special,Pensioner,112500.0,Cash loans,540000.0,House / apartment,61,-24,Man
-0.9292799,-0.01121463,-0.17965145,-0.7669701,-0.30142367,-2.0191472,1.6355541,0.5319823,0.8501618,-2.924679,-0.85172445,-1.4774885,-0.9760997,-0.06207477,-0.0025461493,1.4742098,-0.7622688,-0.384118,-0.36471683,-0.009368178,-0.010803135,-0.58379966,-0.016790975,-0.15472005,-0.8114147,0.6666796,-0.22454089,0.57223576,0.1553989,-0.1301778,0.101639904,-0.44592386,0,192142,Married,0,Secondary / secondary special,Working,135000.0,Cash loans,225000.0,House / apartment,41,10,Man
-0.9420256,-1.0535637,-1.0992243,0.2540065,0.7113839,0.32873103,1.97479,-2.2651365,-1.885147,1.1645516,-0.56309503,-0.667407,2.178218,-0.045198366,-0.0025617122,-1.4999393,-0.24082485,0.026662605,0.8395709,-0.30261964,-0.010803135,0.6940168,-0.016790977,-0.1861549,-0.7144653,0.38499203,-0.20420559,-0.15336818,0.02556888,-0.16213763,0.101639904,-0.15496428,0,339007,Married,1,Higher education,Commercial associate,90000.0,Cash loans,157500.0,Rented apartment,30,4,Man
-0.16725752,1.0789973,-1.468612,0.36261106,0.3769984,0.46652976,-0.4231347,0.052123826,0.21443743,-0.31463477,0.28579512,0.771922,0.28564295,-0.062066484,-0.0025460264,-0.035674572,-0.76226336,0.15766932,0.80474037,-0.3161513,-0.010803135,0.41151446,-0.016790975,-0.3409504,-0.13883035,-0.06848002,-0.20122503,-0.5924047,0.24114776,-0.37829947,-0.038790878,-0.27536133,0,234093,Single / not married,1,Secondary / secondary special,Commercial associate,112500.0,Cash loans,459000.0,House / apartment,26,4,Man
-0.35907963,-1.0599985,1.419347,0.28256202,-1.1972815,-1.0830433,2.313,-0.066409305,0.59422857,0.8029189,2.2100375,1.1999062,-0.9760997,-0.069862984,-0.0025475207,1.2753447,0.3156249,3.1941118,0.022332856,-0.14172196,-0.010803135,0.67256093,-0.016790975,-0.27034086,-0.2297201,0.91581607,0.41642627,-0.16915244,0.011898351,0.14342374,0.24207069,-0.09476577,0,428408,Married,0,Secondary / secondary special,Pensioner,45900.0,Cash loans,454500.0,House / apartment,60,-24,Man
-0.37026003,-0.66263765,1.5923542,0.28256202,-1.2441182,-0.92338234,0.012102936,1.2403933,0.78519636,-0.8044717,-0.23208219,-0.1346032,-0.9760997,-0.06186168,-0.0025475207,1.1582792,0.3049526,0.026662605,0.8913373,-0.16557115,-0.010803133,0.013388816,-0.016790975,-0.16021657,0.8609569,-1.3771367,-0.18890911,0.29220894,0.09738693,0.03329208,0.20462249,-0.69675094,0,199848,Married,0,Secondary / secondary special,Pensioner,135000.0,Cash loans,450000.0,House / apartment,62,-24,Man
-0.818594,0.84539586,-1.1083905,0.6327181,0.9793464,-0.41657454,0.012102936,1.0629284,0.7287055,1.1645516,-1.025968,-1.1443887,0.60105866,-0.053229887,-0.0025528867,1.0233974,-0.76226646,0.15766932,1.1134216,-0.0046274057,-0.010803135,0.7250086,-0.016790977,0.5949967,0.8609569,-3.56657,1.4995514,-0.31663468,-0.06648067,-0.29710284,0.054829646,-0.69675094,0,389132,Married,2,Secondary / secondary special,Commercial associate,225000.0,Cash loans,225000.0,House / apartment,30,2,Man
-0.20255403,0.56357044,-1.6326822,0.7544301,-0.87708896,0.9441878,-1.7102028,0.2760406,0.11206273,0.9903874,-0.66466266,-0.4169497,-0.9760997,-0.04746151,-0.0025512683,-0.5123075,0.46503603,-0.1511142,0.053351644,-0.18896604,-0.010803135,0.18145983,-0.016790975,-0.15472005,0.061127182,1.0534967,-0.2231912,0.2962427,0.0555449,-0.07899902,0.20462249,-0.78704876,0,289597,Married,0,Higher education,Working,238500.0,Cash loans,517500.0,House / apartment,24,1,Man
0.07695593,0.56357044,0.04537239,0.6303775,-0.46066836,0.8799259,0.012102936,-0.0946787,0.9321109,0.22358105,-0.2609028,-0.36337408,-0.9760997,-0.057134505,-0.0025494741,0.4516924,0.73184156,0.41843992,0.69673395,-0.39794794,-0.010803135,-0.22858575,-0.016790977,-0.3154586,0.061127182,0.9530831,0.37121168,-1.0340067,-0.004426703,-0.21520731,0.14845017,-0.7268502,0,390108,Married,0,Secondary / secondary special,Working,193500.0,Cash loans,630000.0,House / apartment,44,2,Man
-0.25791937,-0.20526777,0.15467633,-1.4228106,-0.2835406,1.8226547,0.012102936,-1.8626851,0.11206273,-0.7621401,0.16520269,-1.1401703,0.28562775,-0.061656628,-0.0025458825,-1.030683,0.4121872,-1.3714309,0.7369967,0.2815163,-0.010803135,0.18145983,-0.016790975,-0.15472005,0.13383892,-1.3167504,-0.19430788,0.86100835,0.21716045,-0.4039953,0.054829646,-0.99774355,0,451381,Married,0,Secondary / secondary special,Working,112500.0,Cash loans,427500.0,House / apartment,45,14,Man
-0.6724662,0.12702295,1.6810346,0.28256202,-2.2293913,1.6292064,2.863595,0.38351032,1.1412007,0.5344158,-0.11490781,-0.686534,-0.13489996,-0.06674118,-0.0025475207,2.071522,0.016482465,0.34036085,-0.7191729,-0.30042487,-0.010803135,0.18145983,-0.016790975,-0.15472005,-0.08429664,0.48966157,0.15512653,0.17301892,-0.009036908,-0.26535904,0.096958876,-0.8321976,0,221553,Separated,0,Secondary / secondary special,Pensioner,90000.0,Cash loans,297000.0,House / apartment,64,-24,Man
-0.8018793,0.12702295,1.39437,0.28256202,-1.8050228,0.21809454,0.012102936,0.15226527,0.11206273,0.17762104,0.15904501,-0.4261937,0.28559735,-0.06723328,-0.0025475207,0.15519464,-0.10704852,0.1977866,0.053351644,-0.18896604,-0.010803135,0.18145983,-0.016790975,-0.15472005,1.0427364,1.1435586,0.5898613,0.092133015,-0.0028639091,-0.019460067,0.03610554,-0.15496428,0,387315,Civil marriage,0,Secondary / secondary special,Pensioner,63000.0,Cash loans,238500.0,House / apartment,60,-24,Man
0.8528756,-0.08524986,1.1840117,0.5367528,-1.6508876,-1.0790684,0.012102936,0.7255977,-1.8535068,-1.6777116,2.0673542,1.1827966,2.178218,-0.043208692,-0.00254869,-0.5664062,1.4724939,-0.20006101,-0.68298435,-0.3135145,-0.010803135,0.15166,-0.016790975,-0.3556307,1.2245159,-2.622819,-0.120074995,-0.19692945,-0.06803659,0.27299032,0.2607948,-0.33555987,0,101033,Widow,0,Secondary / secondary special,Commercial associate,99000.0,Cash loans,675000.0,House / apartment,58,3,Man
-1.152888,-0.044978768,0.48144212,-0.13266322,0.54078484,0.8567386,0.012102936,-0.98774403,1.0033815,-0.8939727,-0.5419033,-0.20607547,-0.9760997,-0.06961835,-0.002546688,-0.03551192,-0.762269,-0.21124414,0.98662585,-0.25344163,-0.010803135,0.68448085,-0.016790975,-0.25663137,-1.8293798,0.24121524,-0.15030803,0.95928186,0.30371106,-0.20917028,0.022062464,-0.03456725,0,107580,Married,0,Secondary / secondary special,Working,54000.0,Revolving loans,135000.0,House / apartment,49,6,Man
